path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135
Baked Potato-Train (1).jpeg,0.0002006438962493176,0.29454838166609765,9.07381109967056,715816961.0000106,5592320.999999821,0.0002006438962493176,0.9831937826921334,0.0001297918180173457,0.2261905216636213,9.414501110075753,715816960.9999304,5592320.999999531,0.0001297918180173457,0.968498077107565,0.00015093575523269427,0.24894472717598434,9.285436384733051,715816960.9998237,5592321.0000002235,0.00015093575523269427,0.9725955209628051,0.00011404903770997855,0.2082651165619264,9.5314136291753,715816960.9998784,5592320.999999417,0.00011404903770997855,0.9533823273455033
Baked Potato-Train (10).jpeg,0.0002015204477988447,0.23629421727721578,9.101230910213976,715816960.9999157,5592320.999999668,0.0002015204477988447,0.9567518718880231,0.00016034942056495318,0.20304443431772598,9.32349793269292,715816961.0000597,5592321.000000883,0.00016034942056495318,0.9282670341393874,0.00022592026515704574,0.25154278479462167,9.038428540536339,715816961.0001613,5592320.999999555,0.00022592026515704574,0.9571988382183761,0.00015123747994870798,0.19373758874237604,9.342415849660803,715816961.0000515,5592321.000000849,0.00015123747994870798,0.9293159570707352
Baked Potato-Train (100).jpeg,0.0008136184261183736,0.2071242304756075,9.534638516875498,715816961.0000751,5592321.000000629,0.0008136184261183736,0.9105191590947436,0.0005686427944559932,0.17189533649727284,9.742675680879051,715816961.0000777,5592320.999998315,0.0005686427944559932,0.8654126056470564,0.0008613838460343529,0.2189502043290511,9.459938816118731,715816960.9998268,5592321.000000485,0.0008613838460343529,0.9300296371370909,0.0005561978861212015,0.1705473624158375,9.750358047670748,715816961.0000105,5592321.000001153,0.0005561978861212015,0.8643038485570832
Baked Potato-Train (101).jpeg,0.00044345626629369164,0.2391559878777753,9.260318927960958,715816960.999907,5592321.000000377,0.00044345626629369164,0.9780126855878213,0.0002520320859058969,0.17639512316264408,9.623169861002365,715816960.9998823,5592320.999998755,0.0002520320859058969,0.9508543821015879,0.00035086963177354566,0.2057761497343427,9.428880107278605,715816961.0000973,5592321.000000871,0.00035086963177354566,0.9676173648793748,0.00025188743978262943,0.17990592683795653,9.604006058504028,715816960.9998794,5592320.999999554,0.00025188743978262943,0.9545305326274941
Baked Potato-Train (102).jpeg,0.00024052093517029773,0.23429787603122057,9.336668475199325,715816960.9997766,5592320.999999804,0.00024052093517029773,0.9579129263526174,0.00015833816394599136,0.1797948917324492,9.68213495176736,715816961.0003816,5592320.999998562,0.00015833816394599136,0.9147727134057096,0.00021578933371371059,0.22012071863054514,9.440370916986536,715816960.9999697,5592320.999998796,0.00021578933371371059,0.9483887985685151,0.00016756325381704382,0.18989093532608878,9.580891157794655,715816961.0001858,5592321.000001359,0.00016756325381704382,0.9317095220416821
Baked Potato-Train (103).jpeg,0.00011183507058426305,0.17677838642244378,9.900878220032995,715816960.999987,5592320.999998986,0.00011183507058426305,0.9127316451425627,6.75087527232857e-05,0.12546082168629583,10.185611240011132,715816960.9997804,5592320.999997979,6.75087527232857e-05,0.8546793008188848,0.00010834395871109386,0.18025420836894598,9.944887280041431,715816960.9998356,5592321.000001281,0.00010834395871109386,0.9059994141613043,6.550629002574487e-05,0.1234540618588239,10.204727508227718,715816960.9998323,5592320.999997888,6.550629002574487e-05,0.8519098942040121
Baked Potato-Train (104).jpeg,0.10537013545037587,0.5768505397041579,6.38714941148686,715816960.9999437,5592320.9999991795,0.10537013545037587,0.9861467209278498,0.10119603612359959,0.5072998556816462,6.698980465621376,715816961.0001036,5592320.999999015,0.10119603612359959,0.9717618309278722,0.10366898272970342,0.5282542415012476,6.595672690155915,715816961.0000575,5592321.000000828,0.10366898272970342,0.9794798010163603,0.1015336927404933,0.5001101028730434,6.722365213619862,715816961.0000885,5592321.000000424,0.1015336927404933,0.9711284066427279
Baked Potato-Train (105).jpeg,0.0010077295031154323,0.3008541269104992,8.951945160875356,715816960.999913,5592320.999999321,0.0010077295031154323,0.9560568690219271,0.0007026778010861564,0.23210943704171627,9.245687337580074,715816960.9999588,5592320.999997769,0.0007026778010861564,0.9134183604864918,0.0009390984748747658,0.27347845590792086,9.063403176133574,715816960.9998432,5592321.000000254,0.0009390984748747658,0.937241490035435,0.0006957052637705111,0.24297733101977326,9.201768752505188,715816960.9999162,5592320.999999598,0.0006957052637705111,0.9191021330905375
Baked Potato-Train (106).jpeg,0.00033011692092692606,0.29818321535728787,9.02212105332237,715816961.0001373,5592320.999999087,0.00033011692092692606,0.9705163865117211,0.00021762923471050564,0.24493793278687737,9.281122870496278,715816960.9998763,5592320.9999994235,0.00021762923471050564,0.9548615357670399,0.0003323324924074787,0.30805564253260087,8.940529850609376,715816961.0000829,5592321.000000738,0.0003323324924074787,0.9750680814945417,0.00024207053386953936,0.25505811463695605,9.233371644741872,715816960.9998432,5592320.999999942,0.00024207053386953936,0.9554329779085825
Baked Potato-Train (107).jpeg,0.00107957721533813,0.326859372064636,8.84511389167565,715816961.0001043,5592321.000000878,0.00107957721533813,0.9615716094079497,0.000668920624783756,0.23791137855319083,9.263499314668753,715816961.0000703,5592320.999998309,0.000668920624783756,0.9235175451666614,0.0008282460814797161,0.27629818163654135,9.024680364743043,715816961.0000687,5592321.000000365,0.0008282460814797161,0.9561638539143221,0.0006755138116751525,0.24858272880446575,9.17195586554775,715816961.0000855,5592321.000001292,0.0006755138116751525,0.9395693064647982
Burger-Train (1).jpeg,0.001060652686009154,0.2880872022620113,8.349238212962542,715816960.9999044,5592320.999999756,0.001060652686009154,0.9513055239455405,0.0005977973555414293,0.22446291832614562,8.711496516851803,715816961.000086,5592320.999999591,0.0005977973555414293,0.8752192528769462,0.0008711342742969172,0.27472897928709306,8.522535097793567,715816960.9998882,5592321.000000431,0.0008711342742969172,0.9050852571565082,0.0006782910159525367,0.22959485114976572,8.668980369962851,715816961.0000628,5592321.000000965,0.0006782910159525367,0.8876551369270823
Burger-Train (10).jpeg,0.00017061051333747075,0.2017255441538729,9.357749294851097,715816961.0000485,5592321.000000295,0.00017061051333747075,0.9490573864427795,0.00011606353586377627,0.15360257332203328,9.64601384195278,715816961.000156,5592320.999999682,0.00011606353586377627,0.8926426931913409,0.00014723421272314018,0.17840296279092002,9.507674678939834,715816961.0000985,5592321.00000035,0.00014723421272314018,0.9212723340355705,0.00012047805875491059,0.15460450814823,9.635853062245484,715816961.0000736,5592321.000000022,0.00012047805875491059,0.8997780691984231
Burger-Train (100).jpeg,0.0010941974463480725,0.4219020128140794,8.494546698113679,715816960.9998598,5592321.00000068,0.0010941974463480725,0.9754386879269833,0.0005766063155527052,0.3138703915317716,8.93101844830789,715816960.9998919,5592321.000000056,0.0005766063155527052,0.9409077467511908,0.0008799895728705882,0.3966626481453719,8.659589535173412,715816960.9997758,5592321.000001138,0.0008799895728705882,0.9482102268861958,0.000568241792560861,0.31438715844835735,8.972283667392263,715816960.9999868,5592320.999998649,0.000568241792560861,0.9352836156777407
Burger-Train (101).jpeg,0.0014053518259755863,0.40887131711443914,8.1472797571835,715816961.0000318,5592321.000001267,0.0014053518259755863,0.9479049082158827,0.0009597052408501848,0.33961351174503135,8.493040949703998,715816960.9998311,5592321.000000773,0.0009597052408501848,0.8954015048125903,0.0015644324946846881,0.42360515080670175,8.171566081970688,715816961.000173,5592320.999999334,0.0015644324946846881,0.9213022952355513,0.0009607032650901263,0.34363329779082197,8.479640355106138,715816960.9998301,5592321.000000155,0.0009607032650901263,0.8973509847922199
